


1,,,,,,,,,
10,,,,,,,,,
3.27E-01,3.14E+00,3.41E-02,6.91E-01,-1.45E-02,5.03E-03,,,,
2.15E-02,6.52E-02,1.34E-02,9.03E-02,1.52E-02,4.61E-03,,,,
1.40E+01,1.40E+01,4.53E-01,1.05E+00,1.00E+00,1.00E+00,-1.16E+03,1.07E+00,-1.16E+03,1.03E+00
6.00E+00,2.34E+03,2.36E+03,2.34E+03,0.00E+00,6.24E-02,9.57E-03,,,
11,,,,,,,,,
3.42E-01,3.23E+00,1.91E-02,5.10E-01,-1.05E-02,1.18E-03,,,,
2.20E-02,5.85E-02,1.30E-02,5.80E-02,1.10E-02,4.11E-03,,,,
1.94E+01,1.40E+01,1.51E-01,1.05E+00,9.87E-01,9.91E-01,-1.14E+03,1.05E+00,-1.13E+03,1.04E+00
6.00E+00,2.30E+03,2.32E+03,2.30E+03,4.28E-02,6.25E-02,5.09E-03,,,
12,,,,,,,,,
3.42E-01,3.10E+00,1.97E-02,5.85E-01,-6.20E-03,-9.18E-04,,,,
1.95E-02,6.15E-02,1.26E-02,7.12E-02,1.28E-02,3.60E-03,,,,
1.06E+01,1.40E+01,7.17E-01,1.05E+00,1.00E+00,1.00E+00,-1.15E+03,9.75E-01,-1.14E+03,1.02E+00
6.00E+00,2.31E+03,2.33E+03,2.31E+03,0.00E+00,3.38E-02,1.61E-03,,,
13,,,,,,,,,
3.44E-01,3.10E+00,2.13E-02,5.36E-01,-7.76E-03,7.28E-03,,,,
2.17E-02,5.96E-02,1.41E-02,6.51E-02,1.18E-02,4.61E-03,,,,
1.49E+01,1.40E+01,3.82E-01,1.05E+00,9.98E-01,9.98E-01,-1.17E+03,9.46E-01,-1.16E+03,1.00E+00
6.00E+00,2.36E+03,2.38E+03,2.36E+03,1.80E-02,5.19E-02,1.36E-03,,,
14,,,,,,,,,
3.75E-01,3.14E+00,2.51E-02,6.29E-01,-1.01E-02,-4.08E-03,,,,
2.45E-02,6.39E-02,1.26E-02,8.59E-02,1.30E-02,3.84E-03,,,,
1.20E+01,1.40E+01,6.04E-01,1.05E+00,1.00E+00,1.00E+00,-1.18E+03,1.04E+00,-1.18E+03,1.08E+00
6.00E+00,2.38E+03,2.40E+03,2.38E+03,0.00E+00,5.38E-02,6.76E-03,,,
15,,,,,,,,,
3.15E-01,3.21E+00,1.79E-02,6.28E-01,-9.29E-03,4.02E-03,,,,
2.10E-02,6.25E-02,1.30E-02,7.36E-02,1.22E-02,4.23E-03,,,,
1.83E+01,1.40E+01,1.94E-01,1.05E+00,9.92E-01,9.94E-01,-1.14E+03,1.05E+00,-1.13E+03,1.04E+00
6.00E+00,2.29E+03,2.31E+03,2.29E+03,3.83E-02,7.33E-02,1.46E-03,,,
16,,,,,,,,,
3.44E-01,3.17E+00,2.03E-02,5.98E-01,-2.27E-02,5.31E-03,,,,
2.17E-02,6.20E-02,1.38E-02,7.32E-02,1.35E-02,4.99E-03,,,,
1.75E+01,1.40E+01,2.30E-01,1.05E+00,9.92E-01,9.94E-01,-1.17E+03,1.05E+00,-1.16E+03,1.04E+00
6.00E+00,2.34E+03,2.36E+03,2.34E+03,3.46E-02,5.55E-02,6.98E-03,,,
17,,,,,,,,,
3.76E-01,3.15E+00,5.32E-03,6.17E-01,1.66E-03,-4.42E-03,,,,
2.44E-02,6.35E-02,1.26E-02,7.63E-02,1.32E-02,4.38E-03,,,,
1.33E+01,1.40E+01,5.01E-01,1.05E+00,1.00E+00,1.00E+00,-1.19E+03,9.88E-01,-1.18E+03,1.01E+00
6.00E+00,2.39E+03,2.41E+03,2.39E+03,0.00E+00,5.24E-02,3.03E-03,,,
18,,,,,,,,,
3.30E-01,3.23E+00,1.41E-02,5.64E-01,1.04E-02,2.98E-03,,,,
2.01E-02,6.04E-02,1.31E-02,6.91E-02,1.19E-02,4.27E-03,,,,
7.27E+00,1.40E+01,9.24E-01,1.05E+00,1.00E+00,1.01E+00,-1.16E+03,1.05E+00,-1.15E+03,1.06E+00
6.00E+00,2.32E+03,2.34E+03,2.33E+03,0.00E+00,3.23E-02,1.21E-02,,,
19,,,,,,,,,
3.02E-01,3.12E+00,4.02E-02,5.85E-01,7.42E-03,-8.24E-04,,,,
1.91E-02,6.05E-02,1.19E-02,6.75E-02,1.04E-02,3.35E-03,,,,
1.48E+01,1.40E+01,3.91E-01,1.05E+00,9.99E-01,9.99E-01,-1.11E+03,9.97E-01,-1.10E+03,1.02E+00
